id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0116,,KASHINK,9/1/2015,"2515 Riopelle Street, Detroit, MI",,,,https://www.dropbox.com/s/eqr841qzaqd6yi3/m0116.jpg?dl=0,
m0118,,"NATUREL ] , [ RICK WILLIAMS",9/1/2015,"1563 Adelaide Street, Detroit, MI",,,,,
m0119,,JAMES BULLOUGH,9/22/2017,"2633 Orleans Street, Detroit, MI",,,5,https://www.dropbox.com/s/o8ytuj9xxavhh68/m0119.jpg?dl=0,
m0120,,OUIZI,9/22/2017,"2629 Orleans Street, Detroit, MI",,,5,https://www.dropbox.com/s/tnmiwdx5vm2rxjd/m0120.jpg?dl=0,
m0121,,"GHOST BEARD ] , [ PATCH WHISKY",9/22/2015,"1563 Adelaide Street, Detroit, MI",,,,https://www.dropbox.com/s/368lz72nmnempv0/m0121.jpg?dl=0,
m0122,,MARLOBRO,9/1/2015,"1565 Adelaide Street, Detroit, MI",,,,https://www.dropbox.com/s/b43hz0gutql5vcm/m0122.jpg?dl=0,
m0123,,JARUS,9/1/2015,"2157 Hendricks Street, Detroit, MI",,,,https://www.dropbox.com/s/ze67rd5un4nkand/m0123.jpg?dl=0,
m0124,,ZAK MEERS,9/1/2015,"2598 Dubois Street, Detroit, MI",,,,https://www.dropbox.com/s/rchp2ohhkh5sewc/M0124.jpg?dl=0,
m0127,CRIME FIGHTER,TRISTAN EATON,11/22/2014,"154 E Grand River Ave, Detroit, MI 48226",located in the Belt,,,https://www.dropbox.com/s/oax0ouxn4efyp0u/m0127.jpg?dl=0,"-83.046119, 42.334419"
m0128,PALLETS ON PIQUETTE,NICK JASKEY,11/22/2014,"154 E Grand River Ave, Detroit, MI 48226",located in the Belt,,,https://www.dropbox.com/s/t6xlfhozaj1qna9/m0128.jpg?dl=0,"-83.046918, 42.334742"
m0129,ROUND AND ROUND,CLEON PETERSON,11/22/2014,"154 E Grand River Ave, Detroit, MI 48226",located in the Belt,,,https://www.dropbox.com/s/b75rstsblxdkwl8/m0129.jpg?dl=0,"-83.046357, 42.334524"
m0130,,unknown,1/22/2013,"2663 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/lf9jxjgtg618eek/m0130.jpg?dl=0,
m0131,,unknown,9/22/2014,"4734 East Grand River, Detroit, MI",,,,https://www.dropbox.com/s/qwabqmr5dbdxq02/m0131.jpg?dl=0,
m0132,"GIRLS , SWEETS",MICHELLE TANGUAY,1/22/2015,"301 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/i32rxi4xcp1awgv/m0132.jpg?dl=0,
m0133,,NINA CHANEL ABNEY,10/22/2016,"The Belt, Detroit, MI",,"Bedrock , Library Street Collective",,https://www.dropbox.com/s/rztz1xwmoz9hzc2/m0133.jpg?dl=0,"-83.046148, 42.334432"
m0134,,VHILS,11/22/2014,"154 E Grand River Ave, Detroit, MI 48226",located in the Belt,,,https://www.dropbox.com/s/th3hroa959rmqgg/m0134.jpg?dl=0,"-83.047124, 42.334845"
